appid,type,name,is_free,release_coming_soon,release_date_text,price_currency,price_initial,price_final,price_discount_pct,platform_windows,platform_mac,platform_linux,categories,genres,supported_languages,pc_minimum,pc_recommended,header_image,screenshots_count,movies_count
3115220,game,Town to City,False,False,"Sep 16, 2025",USD,2499,2499,0,True,False,False,Single-player|Steam Achievements|Adjustable Text Size|Camera Comfort|Custom Volume Controls|Playable without Timed Input|Save Anytime|Stereo Sound|Steam Cloud|Family Sharing,Indie|Simulation|Strategy|Early Access,"English<strong>*</strong>, French, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Polish<br><strong>*</strong>languages with full audio support","<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Windows 10 64-bit <br></li><li><strong>Processor:</strong> Intel Core i5-10600K / AMD Ryzen 5 3600X<br></li><li><strong>Memory:</strong> 8 GB RAM<br></li><li><strong>Graphics:</strong> Nvidia GeForce GTX 960 / AMD Radeon RX 570<br></li><li><strong>DirectX:</strong> Version 12<br></li><li><strong>Storage:</strong> 3 GB available space</li></ul>","<strong>Recommended:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Windows 10 64-bit <br></li><li><strong>Processor:</strong> Intel Core i7-11700K / AMD Ryzen 7 5700<br></li><li><strong>Memory:</strong> 16 GB RAM<br></li><li><strong>Graphics:</strong> Nvidia GeForce RTX 2060 / AMD Radeon RX 5700 XT<br></li><li><strong>DirectX:</strong> Version 12<br></li><li><strong>Storage:</strong> 3 GB available space</li></ul>",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3115220/header.jpg?t=1772140952,12,7
2016460,game,Tales of the Shire: A The Lord of The Rings™ Game,False,False,"Jul 29, 2025",USD,3499,3499,0,True,False,False,Single-player|Steam Achievements|Full controller support|Steam Trading Cards|Steam Cloud|Family Sharing,Casual|Indie|RPG|Simulation,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Simplified Chinese, Traditional Chinese, Polish, Spanish - Latin America, Turkish","<strong>Minimum:</strong><br><ul class=""bb_ul""><li>Requires a 64-bit processor and operating system<br></li><li><strong>OS:</strong> Windows 10<br></li><li><strong>Processor:</strong> Intel Core i5-7600K or AMD Ryzen 3 1200<br></li><li><strong>Memory:</strong> 16 GB RAM<br></li><li><strong>Graphics:</strong> NVIDIA GeForce GTX 770, 4 GB or AMD Radeon R9 270X, 4 GB or Intel Arc A580, 8 GB<br></li><li><strong>Storage:</strong> 3 GB available space<br></li><li><strong>Additional Notes:</strong> Details: 1080p Very Low @ 30 FPS</li></ul>","<strong>Recommended:</strong><br><ul class=""bb_ul""><li>Requires a 64-bit processor and operating system<br></li><li><strong>OS:</strong> Windows 11<br></li><li><strong>Processor:</strong> Intel Core i5-10600 or AMD Ryzen 5 8400F<br></li><li><strong>Memory:</strong> 16 GB RAM<br></li><li><strong>Graphics:</strong> NVIDIA GeForce RTX 3060 Ti, 8 GB or AMD Radeon RX 6750 XT, 12 GB<br></li><li><strong>Storage:</strong> 3 GB available space<br></li><li><strong>Additional Notes:</strong> Details: 1080p High @ 60 FPS</li></ul>",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2016460/header.jpg?t=1769187824,11,2
3483740,game,Cast n Chill,False,False,"Jun 16, 2025",USD,1499,1124,25,True,True,False,Single-player|Multi-player|Co-op|Shared/Split Screen Co-op|Shared/Split Screen|Steam Achievements|Full controller support|Camera Comfort|Custom Volume Controls|Keyboard Only Option|Mouse Only Option|Playable without Timed Input|Save Anytime|Stereo Sound|Steam Cloud|Remote Play on TV|Remote Play Together|Family Sharing,Casual|Indie|RPG|Simulation|Sports,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Simplified Chinese, Traditional Chinese, Portuguese - Brazil, Russian, Turkish","<strong>Minimum:</strong><br><ul class=""bb_ul""><li>Requires a 64-bit processor and operating system<br></li><li><strong>OS:</strong> Windows 10<br></li><li><strong>Processor:</strong> Intel® Core™ i3 @ 3.2 GHZ<br></li><li><strong>Memory:</strong> 4 GB RAM<br></li><li><strong>Graphics:</strong> Graphics card with DX9<br></li><li><strong>Storage:</strong> 256 MB available space</li></ul>","<strong>Recommended:</strong><br><ul class=""bb_ul""><li>Requires a 64-bit processor and operating system</li></ul>",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3483740/b3861b297ccb9284cd066c91f57b8b97b8e9fa91/header_alt_assets_4.jpg?t=1770355191,17,3
2949320,game,Ratatan,False,False,"Sep 18, 2025",USD,2499,2499,0,True,False,False,Single-player|Multi-player|Co-op|Online Co-op|Full controller support|Steam Cloud|Family Sharing,Action|Adventure|Casual|Indie|RPG|Early Access,"English, French, Italian, German, Spanish - Spain, Japanese, Simplified Chinese, Traditional Chinese, Korean, Portuguese - Portugal","<strong>Minimum:</strong><br><ul class=""bb_ul""><li>Requires a 64-bit processor and operating system<br></li><li><strong>OS:</strong> Windows® 10 64-bit<br></li><li><strong>Processor:</strong> Dual Core 2.4 GHz<br></li><li><strong>Memory:</strong> 8 GB RAM<br></li><li><strong>Graphics:</strong> GeForce GTX 950, Radeon R7 360, or Intel HD Graphics 630<br></li><li><strong>Network:</strong> Broadband Internet connection<br></li><li><strong>Storage:</strong> 10 GB available space<br></li><li><strong>Additional Notes:</strong> An internet connection with a non-symmetric NAT type (e.g., open or moderate) is required to play online co-op.</li></ul>","<strong>Recommended:</strong><br><ul class=""bb_ul""><li>Requires a 64-bit processor and operating system<br></li><li><strong>OS:</strong> Windows® 11 64-bit<br></li><li><strong>Processor:</strong> Quad Core 2.4 GHz<br></li><li><strong>Memory:</strong> 16 GB RAM<br></li><li><strong>Graphics:</strong> GeForce RTX 2060, Radeon RX 5600 XT, or Intel Arc A580<br></li><li><strong>Network:</strong> Broadband Internet connection<br></li><li><strong>Storage:</strong> 10 GB available space<br></li><li><strong>Additional Notes:</strong> An internet connection with a non-symmetric NAT type (e.g., open or moderate) is required to play online co-op.</li></ul>",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2949320/c9c9c3ca114d41226c6007e4ebf9c1f3256b4d78/header.jpg?t=1762250627,6,2
1601330,game,Survival Machine,False,False,"May 7, 2025",USD,1999,1999,0,True,False,False,Single-player|Multi-player|Co-op|Online Co-op|Steam Achievements|Custom Volume Controls|Adjustable Difficulty|Partial Controller Support|Steam Cloud|Family Sharing,Action|Adventure|Casual|Indie|Early Access,"English<strong>*</strong>, French, German, Spanish - Spain, Simplified Chinese, Polish, Russian, Italian, Danish, Dutch, Japanese, Korean, Norwegian, Portuguese - Portugal, Swedish, Turkish, Traditional Chinese, Portuguese - Brazil<br><strong>*</strong>languages with full audio support","<strong>Minimum:</strong><br><ul class=""bb_ul""><li>Requires a 64-bit processor and operating system<br></li><li><strong>OS:</strong> Windows 10<br></li><li><strong>Processor:</strong> Intel Core i5-6400 (2.7 GHz 4 Core) / AMD Ryzen 5 1500X (3.5 GHz 4 Core) or equivalent<br></li><li><strong>Memory:</strong> 16 GB RAM<br></li><li><strong>Graphics:</strong> NVIDIA GeForce GTX 1060 (req. 6GB VRAM) / AMD Radeon RX 580 (req. 6GB VRAM) / Intel ARC A380<br></li><li><strong>DirectX:</strong> Version 11<br></li><li><strong>Network:</strong> Broadband Internet connection<br></li><li><strong>Storage:</strong> 15 GB available space<br></li><li><strong>Sound Card:</strong> on board</li></ul>","<strong>Recommended:</strong><br><ul class=""bb_ul""><li>Requires a 64-bit processor and operating system<br></li><li><strong>OS:</strong> Windows 10<br></li><li><strong>Processor:</strong> Intel i7-8700 (3.7 GHz 6 Core) / AMD Ryzen 7 2700X (3.7 GHz 8 Core) or equivalent<br></li><li><strong>Memory:</strong> 16 GB RAM<br></li><li><strong>Graphics:</strong> NVIDIA RTX 2070 Super (req. 6GB VRAM) / AMD Radeon RX 6700 XT (req. 6GB VRAM) / Intel ARC A770<br></li><li><strong>DirectX:</strong> Version 11<br></li><li><strong>Network:</strong> Broadband Internet connection<br></li><li><strong>Storage:</strong> 15 GB available space<br></li><li><strong>Sound Card:</strong> on board</li></ul>",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1601330/header.jpg?t=1765893354,14,2
1299460,game,Wanderstop,False,False,"Mar 11, 2025",USD,2499,1499,40,True,False,False,Single-player|Steam Achievements|Full controller support|Steam Cloud|Family Sharing,Adventure|Indie|Simulation,"English<strong>*</strong>, French, Italian, German, Spanish - Spain, Japanese, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Korean, Portuguese - Brazil<br><strong>*</strong>languages with full audio support","<strong>Minimum:</strong><br><ul class=""bb_ul""><li>Requires a 64-bit processor and operating system<br></li><li><strong>OS:</strong> Windows 10<br></li><li><strong>Processor:</strong> Intel Core i5-750 or AMD Phenom II X2 565<br></li><li><strong>Memory:</strong> 8 GB RAM<br></li><li><strong>Graphics:</strong> NVIDIA GeForce GT 1030, 2GB or AMD Radeon R7 370, 2GB or Intel Arc A310, 4GB<br></li><li><strong>DirectX:</strong> Version 11<br></li><li><strong>Storage:</strong> 15 GB available space<br></li><li><strong>Additional Notes:</strong> Low 720p @ 30 FPS</li></ul>","<strong>Recommended:</strong><br><ul class=""bb_ul""><li>Requires a 64-bit processor and operating system<br></li><li><strong>OS:</strong> Windows 10<br></li><li><strong>Processor:</strong> Intel Core i5-4570 or AMD Ryzen 3 1300x<br></li><li><strong>Memory:</strong> 8 GB RAM<br></li><li><strong>Graphics:</strong> NVIDIA GeForce GTX 970, 4GB or AMD Radeon RX 480, 4GB or Intel Arc A580, 8GB<br></li><li><strong>DirectX:</strong> Version 11<br></li><li><strong>Storage:</strong> 15 GB available space<br></li><li><strong>Additional Notes:</strong> High 1080 @ 60 FPS</li></ul>",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1299460/header.jpg?t=1764011216,6,3
2918500,game,Cozy Island,False,False,"Sep 21, 2025",USD,899,899,0,True,True,False,Single-player|Multi-player|Co-op|Online Co-op|Steam Achievements|Full controller support|Steam Cloud|Family Sharing,Adventure|Casual|Indie,"English, Simplified Chinese","<strong>Minimum:</strong><br><ul class=""bb_ul""><li>Requires a 64-bit processor and operating system<br></li><li><strong>OS:</strong> Windows 10 64-bit<br></li><li><strong>Processor:</strong> Intel Core i5-10400 / AMD Ryzen 3 4100<br></li><li><strong>Memory:</strong> 8 GB RAM<br></li><li><strong>Graphics:</strong> NVIDIA GTX 960 4GB / AMD Radeon R9 380 4GB<br></li><li><strong>DirectX:</strong> Version 11<br></li><li><strong>Storage:</strong> 2 GB available space<br></li><li><strong>Sound Card:</strong> DirectX compatible</li></ul>","<strong>Recommended:</strong><br><ul class=""bb_ul""><li>Requires a 64-bit processor and operating system<br></li><li><strong>OS:</strong> Windows 10 64-bit<br></li><li><strong>Processor:</strong> Intel Core i5-12400 / AMD Ryzen 5 5600<br></li><li><strong>Memory:</strong> 16 GB RAM<br></li><li><strong>Graphics:</strong> NVIDIA GTX 1060 6GB / AMD Radeon RX 580 8GB<br></li><li><strong>DirectX:</strong> Version 11<br></li><li><strong>Storage:</strong> 2 GB available space<br></li><li><strong>Sound Card:</strong> DirectX compatible</li></ul>",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2918500/99d4baf423147e3f414b4e946e610a9ebda7d39c/header.jpg?t=1766064146,8,2
3213850,game,gogh: Focus with Your Avatar,False,False,"Apr 30, 2025",USD,1199,1199,0,True,True,False,Single-player|Multi-player|Co-op|Online Co-op|Steam Achievements|Steam Cloud|Family Sharing,Action|Adventure|Casual|Indie|RPG|Simulation|Sports|Free To Play,"English, Simplified Chinese, Japanese, Korean, French, Italian, German, Spanish - Spain, Indonesian, Spanish - Latin America, Thai, Vietnamese, Portuguese - Brazil, Russian, Traditional Chinese","<strong>Minimum:</strong><br><ul class=""bb_ul""><li>Requires a 64-bit processor and operating system<br></li><li><strong>OS:</strong> Windows 10 / 11<br></li><li><strong>Processor:</strong> Intel Core i5-1235U<br></li><li><strong>Memory:</strong> 8 GB RAM<br></li><li><strong>Graphics:</strong> Intel Iris Xe Graphics<br></li><li><strong>DirectX:</strong> Version 11<br></li><li><strong>Storage:</strong> 3 GB available space</li></ul>","<strong>Recommended:</strong><br><ul class=""bb_ul""><li>Requires a 64-bit processor and operating system<br></li><li><strong>OS:</strong> Windows 10 / 11<br></li><li><strong>Processor:</strong> Intel Core i7-6700 / AMD Ryzen 5 2600<br></li><li><strong>Memory:</strong> 16 GB RAM<br></li><li><strong>Graphics:</strong> NVIDIA GTX 1060 / Radeon RX580<br></li><li><strong>DirectX:</strong> Version 11<br></li><li><strong>Storage:</strong> 3 GB available space</li></ul>",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3213850/0a8609a466c3b85f06b27b1477bf0c650a10cedf/header.jpg?t=1771042976,8,7
1401730,game,Crashlands 2,False,False,"Apr 10, 2025",USD,2499,2499,0,True,False,False,Single-player|Steam Achievements|Full controller support|Adjustable Text Size|Camera Comfort|Color Alternatives|Custom Volume Controls|Adjustable Difficulty|Save Anytime|Stereo Sound|Steam Cloud|Family Sharing|Steam Timeline,Action|Adventure|Indie|RPG,"English<strong>*</strong>, French, German, Japanese, Portuguese - Brazil, Spanish - Latin America, Traditional Chinese, Simplified Chinese, Russian, Korean<br><strong>*</strong>languages with full audio support","<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Windows 10, 11<br></li><li><strong>Processor:</strong> 2.0 Ghz<br></li><li><strong>Memory:</strong> 2 GB RAM<br></li><li><strong>Graphics:</strong> 512MB Video Memory<br></li><li><strong>DirectX:</strong> Version 11<br></li><li><strong>Storage:</strong> 500 MB available space</li></ul>",,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1401730/header.jpg?t=1767078883,13,3
2816950,game,Yaoling: Mythical Journey,False,False,"Jun 19, 2025",USD,1999,999,50,True,False,False,Single-player|Steam Achievements|Partial Controller Support|Steam Cloud|Family Sharing,Adventure|Casual|Indie|RPG|Simulation|Strategy,"English<strong>*</strong>, Simplified Chinese<strong>*</strong>, Traditional Chinese<strong>*</strong>, Japanese<strong>*</strong><br><strong>*</strong>languages with full audio support","<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS *:</strong> Windows 7+<br></li><li><strong>Processor:</strong> Intel(R) Core(TM) i3-3220<br></li><li><strong>Memory:</strong> 2 GB RAM<br></li><li><strong>Graphics:</strong> 1Gb Video Memory, Capable of OpenGL 3.0+ Support<br></li><li><strong>Storage:</strong> 8 GB available space</li></ul>","<strong>Recommended:</strong><br><ul class=""bb_ul""><li><strong>OS *:</strong> Windows 7+<br></li><li><strong>Processor:</strong> Intel(R) Core(TM) i5-3470<br></li><li><strong>Memory:</strong> 2 GB RAM<br></li><li><strong>Graphics:</strong> 1Gb Video Memory, Capable of OpenGL 3.0+ Support<br></li><li><strong>Storage:</strong> 8 GB available space</li></ul>",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2816950/header.jpg?t=1765091028,16,3
