appid,hw_ram_gb,hw_storage_gb,hw_has_gpu_req,parse_success
346110,8.0,60.0,1,True
227300,8.0,25.0,1,True
252490,12.0,45.0,1,True
413150,2.0,0.488,0,True
105600,2.5,0.195,0,True
275850,8.0,15.0,1,True
4000,4.0,10.0,1,True
242760,4.0,5.0,1,True
322330,1.0,3.0,1,True
1260320,8.0,12.0,1,True
648800,6.0,10.0,1,True
264710,4.0,20.0,1,True
294100,4.0,1.0,1,True
477160,1.0,0.488,1,True
361420,4.0,2.0,1,True
305620,4.0,7.0,1,True
367520,4.0,9.0,1,True
457140,4.0,2.0,1,True
427520,8.0,5.0,1,True
526870,8.0,20.0,1,True
588650,2.0,0.488,1,True
282070,2.0,1.0,1,True
379430,8.0,70.0,1,True
391540,2.0,0.195,0,True
250900,2.0,0.438,1,True
262060,2.0,2.0,0,True
1332010,8.0,10.0,1,True
244210,2.0,15.0,1,True
268910,3.0,4.0,1,True
508440,8.0,4.0,1,True
313120,8.0,4.0,1,True
632360,4.0,4.0,1,True
686810,12.0,60.0,1,True
219640,2.0,7.0,1,True
1145360,4.0,15.0,1,True
233860,6.0,14.0,0,True
220200,4.0,3.0,1,True
644930,4.0,4.0,1,True
222880,4.0,10.0,1,True
211820,2.0,3.0,1,True
362890,6.0,20.0,0,True
613100,4.0,6.0,1,True
433340,4.0,1.0,1,True
581320,8.0,40.0,1,True
285900,4.0,2.0,1,True
848450,8.0,15.0,1,True
646570,2.0,1.0,0,True
690830,8.0,1.0,1,True
393420,4.0,2.0,1,True
286160,4.0,3.0,1,True
1868140,8.0,10.0,1,True
899770,8.0,22.0,1,True
632470,2.0,20.0,1,True
728880,4.0,3.0,1,True
246620,1.0,0.488,1,True
1167630,4.0,4.0,1,True
219740,1.0,0.488,1,True
233450,6.0,0.391,1,True
1527950,8.0,30.0,1,True
535930,4.0,6.0,1,True
383870,6.0,4.0,1,True
235540,6.0,30.0,1,True
1057090,8.0,20.0,1,True
424840,4.0,10.0,1,True
48700,0.5,0.098,1,True
414340,8.0,30.0,1,True
597820,8.0,25.0,1,True
240720,2.0,2.0,1,True
2198150,4.0,3.0,1,True
666140,6.0,6.0,1,True
881100,4.0,1.562,1,True
414700,4.0,30.0,1,True
313630,4.0,11.0,1,True
257510,2.0,5.0,1,True
753640,6.0,8.0,1,True
304430,4.0,3.0,1,True
629760,8.0,40.0,1,True
621060,4.0,30.0,1,True
392110,4.0,8.0,1,True
418240,4.0,13.0,1,True
322170,0.5,0.098,0,True
992300,8.0,25.0,1,True
1621690,8.0,1.0,1,True
860510,4.0,1.0,1,True
880940,3.0,1.0,1,True
736220,16.0,100.0,1,True
620980,4.0,0.195,1,True
311690,2.0,2.0,1,True
320240,8.0,6.0,1,True
291650,4.0,14.0,1,True
739540,1.0,1.0,0,True
526160,6.0,2.0,1,True
674940,1.0,0.391,0,True
644560,2.0,2.0,1,True
774171,2.0,2.0,1,True
289130,4.0,6.0,1,True
641990,2.0,4.0,1,True
1158160,6.0,8.0,1,True
24240,1.0,1.0,1,True
238460,1.0,2.0,0,True
242920,0.5,0.244,0,True
516750,6.0,1.0,1,True
1794680,1.0,2.441,0,True
1562430,4.0,2.0,1,True
1084600,8.0,50.0,1,True
527230,4.0,3.0,1,True
373420,2.0,9.766,1,True
683320,4.0,4.0,1,True
322500,4.0,4.0,1,True
568220,8.0,6.0,1,True
955050,6.0,4.0,1,True
1217060,4.0,4.0,1,True
1605220,8.0,4.0,1,True
228380,8.0,32.0,1,True
599140,4.0,1.0,0,True
282140,4.0,25.0,1,True
858810,4.0,2.0,1,True
253250,4.0,2.0,1,True
859570,6.0,5.0,1,True
